Date,Open,High,Low,Close,Adj Close,Volume,,41.2612
5/6/2019,37.18,37.75,37.139999,37.68,36.867966,2927500,,
5/7/2019,37.18,37.48,37.009998,37.290001,36.48637,2770400,,
5/8/2019,37.32,38.310001,37.23,37.91,37.093006,2547500,,
5/9/2019,38.380001,38.52,37.330002,37.93,37.112576,4301900,,
5/10/2019,38.110001,38.200001,37.32,37.959999,37.14193,3607800,,
5/13/2019,37.950001,37.950001,36.599998,36.639999,35.850376,4300600,,
5/14/2019,36.91,37.66,36.759998,37.52,36.711414,3258000,,
5/15/2019,37.189999,37.66,37.02,37.32,36.515724,3599000,,
5/16/2019,37.689999,37.84,37.32,37.459999,36.652702,4216700,,
5/17/2019,37.27,37.279999,36.580002,36.669998,35.87973,2440600,,
5/21/2019,36.509998,36.880001,36.369999,36.66,35.869946,2993700,,
5/22/2019,36.48,36.52,35.700001,36.02,35.24374,3076100,,
5/23/2019,35.389999,35.490002,34.240002,34.82,34.069603,3709600,,
5/24/2019,35.220001,35.27,34.509998,34.990002,34.235939,3887300,,
5/27/2019,34.939999,36.189999,34.869999,35.900002,35.126324,1369200,,
5/28/2019,36.009998,36.049999,35.330002,35.450001,34.686024,2661400,,
5/29/2019,34.849998,36.939999,34.509998,36.810001,36.016716,6781000,,
5/30/2019,36.799999,37.18,36.389999,36.529999,35.742748,4017100,,
5/31/2019,36.080002,37.060001,36.029999,36.509998,35.723175,4731600,,
6/3/2019,36.849998,36.939999,35.299999,35.77,34.99913,5254200,,
6/4/2019,36,36.369999,35.919998,36.009998,35.233952,3700500,,
6/5/2019,36.040001,36.060001,34.599998,34.779999,34.030464,3785500,,
6/6/2019,34.810001,35.34,34.669998,35.119999,34.363132,2432800,,
6/7/2019,35.209999,35.779999,34.970001,35.5,34.734943,2494300,,
6/10/2019,35.740002,35.880001,35.27,35.619999,34.85236,2392800,,
6/11/2019,35.939999,36.529999,35.759998,36.150002,35.370941,3929700,,
6/12/2019,35.880001,36.040001,35.389999,35.779999,35.008911,2884400,,
6/13/2019,36,36.040001,35.330002,35.580002,35.181953,2274900,,
6/14/2019,35.57,35.849998,35.23,35.57,35.172066,2207500,,
6/17/2019,35.290001,36.240002,35.279999,36.169998,35.76535,2571700,,
6/18/2019,36.5,36.75,36.139999,36.419998,36.012554,3162600,,
6/19/2019,36.439999,36.529999,35.790001,35.869999,35.468708,3603700,,
6/20/2019,36.290001,36.759998,36.23,36.639999,36.230095,2644000,,
6/21/2019,36.68,36.900002,36.330002,36.349998,35.943336,7455700,,
6/24/2019,36.41,36.560001,35.889999,36.490002,36.081776,4791100,,
6/25/2019,36.419998,36.84,36.299999,36.310001,35.90379,3725400,,
6/26/2019,36.740002,37.07,36.509998,36.540001,36.131214,3630000,,
6/27/2019,36.560001,36.599998,35.07,35.16,34.766651,2942700,,
6/28/2019,35.369999,35.439999,34.889999,35.310001,34.914974,3707900,,
7/2/2019,35.619999,35.619999,34.700001,34.84,34.450233,2036700,,
7/3/2019,34.98,35.080002,34.59,34.950001,34.559002,1585000,,
7/4/2019,34.900002,35.290001,34.810001,35.279999,34.885307,711100,,
7/5/2019,35.189999,35.34,34.700001,34.900002,34.509563,2201200,,
7/8/2019,34.740002,34.759998,34.080002,34.110001,33.728397,3668700,,
7/9/2019,34.110001,35.330002,33.869999,35.189999,34.796314,3289200,,
7/10/2019,35.5,36.459999,35.490002,36.150002,35.745579,2678900,,
7/11/2019,36.139999,36.25,35.68,36.040001,35.636806,2550600,,
7/12/2019,36.16,36.259998,35.950001,36.119999,35.715912,2836300,,
7/15/2019,36.279999,36.48,35.849998,35.93,35.528038,2382100,,
7/16/2019,36,36.290001,35,35.25,34.855644,2484200,,
7/17/2019,35.310001,35.400002,34.580002,34.75,34.36124,1946200,,
7/18/2019,34.560001,34.860001,33.529999,33.880001,33.500973,3097800,,
7/19/2019,34.060001,34.25,33.759998,34.049999,33.669067,1585400,,
7/22/2019,34.07,34.18,33.700001,34.07,33.688847,1763700,,
7/23/2019,34.119999,34.439999,34.02,34.389999,34.005264,1246500,,
7/24/2019,34.209999,34.700001,33.900002,33.919998,33.540524,1463500,,
7/25/2019,34.040001,34.099998,32.759998,32.900002,32.531937,3567400,,
7/26/2019,32.939999,33.459999,32.57,32.849998,32.482494,1909100,,
7/29/2019,32.889999,33,32.099998,32.419998,32.057304,1883700,,
7/30/2019,32.27,33.509998,31.959999,33.02,32.650593,3185400,,
7/31/2019,33.119999,33.540001,32.790001,33.43,33.056007,2693200,,
8/1/2019,33.169998,33.200001,31.73,32.25,31.889208,3959100,,
8/2/2019,32.48,32.630001,31.440001,31.51,31.157486,3652300,,
8/6/2019,30.870001,31.629999,30.67,31.48,31.127821,3705900,,
8/7/2019,30.99,31.74,30.889999,31.540001,31.187151,2953000,,
8/8/2019,31.65,32.380001,31.459999,32.349998,31.988087,3674500,,
8/9/2019,32.57,32.619999,32.18,32.240002,31.87932,2106200,,
8/12/2019,31.6,31.709999,31.190001,31.41,31.058605,2540900,,
8/13/2019,31.280001,32.139999,31.110001,31.790001,31.434355,3163100,,
8/14/2019,31.16,31.32,30.51,30.940001,30.593863,2917200,,
8/15/2019,30.9,31.27,30.74,31.110001,30.761961,3068700,,
8/16/2019,31.299999,31.43,30.93,31.059999,30.712519,1911500,,
8/19/2019,31.49,31.68,31.190001,31.639999,31.286032,3703400,,
8/20/2019,31.5,31.5,30.85,30.860001,30.514759,1781900,,
8/21/2019,31.08,31.57,31.02,31.389999,31.038828,3358600,,
8/22/2019,31.450001,31.77,31.299999,31.32,30.96961,1475100,,
8/23/2019,30.58,30.73,30.1,30.190001,29.852253,2480400,,
8/26/2019,30.51,30.84,30.41,30.49,30.148897,3218800,,
8/27/2019,30.559999,30.84,30.01,30.120001,29.783037,2302300,,
8/28/2019,30.290001,31.32,30.26,31.24,30.890507,2556900,,
8/29/2019,31.610001,32.16,31.540001,32.099998,31.740883,3775400,,
8/30/2019,32.200001,32.200001,31.43,31.809999,31.454128,2359900,,
9/3/2019,31.34,31.34,30.73,31.17,30.821289,4549200,,
9/4/2019,31.59,31.879999,31.190001,31.32,30.96961,3882400,,
9/5/2019,31.48,32.549999,31.41,32.189999,31.829878,7828000,,
9/6/2019,31.74,31.790001,31.23,31.51,31.157486,3255200,,
9/9/2019,31.85,32.689999,31.76,32.57,32.205627,9642000,,
9/10/2019,32.700001,33.939999,32.66,33.759998,33.382313,8310700,,
9/11/2019,34.060001,34.360001,33.290001,33.52,33.145,4217400,,
9/12/2019,32.689999,33.68,32.389999,33.52,33.52,8778700,,
9/13/2019,33.68,34.040001,33.490002,33.650002,33.650002,3826500,,
9/16/2019,36.040001,38,36,37.970001,37.970001,14309900,,
9/17/2019,37.610001,37.619999,36.470001,36.849998,36.849998,8049200,,
9/18/2019,36.209999,36.880001,35.939999,36.009998,36.009998,5927500,,
9/19/2019,36.049999,36.310001,35.900002,35.919998,35.919998,4161800,,
9/20/2019,36.119999,36.52,35.919998,36.450001,36.450001,6502600,,
9/23/2019,36.310001,36.830002,36.169998,36.630001,36.630001,7007200,,
9/24/2019,36.5,36.610001,35.77,35.93,35.93,2501400,,
9/25/2019,35.52,35.889999,35.389999,35.759998,35.759998,2473600,,
9/26/2019,35.599998,35.709999,35.200001,35.459999,35.459999,3953900,,
9/27/2019,35.099998,35.68,34.919998,35.290001,35.290001,2448800,,
9/30/2019,35.080002,35.689999,35.07,35.25,35.25,3750400,,
10/1/2019,35.389999,35.68,33.950001,34.099998,34.099998,3376900,,
10/2/2019,33.75,33.939999,33.299999,33.599998,33.599998,3637000,,
10/3/2019,33.360001,34.040001,32.970001,33.700001,33.700001,4736300,,
10/4/2019,33.84,34.139999,33.48,34.07,34.07,3515300,,
10/7/2019,34.139999,34.639999,33.869999,34.169998,34.169998,1680900,,
10/8/2019,33.580002,33.720001,32.75,32.77,32.77,4419600,,
10/9/2019,33.09,33.16,32.259998,32.57,32.57,5065100,,
10/10/2019,32.709999,33.130001,32.52,33.07,33.07,2781000,,
10/11/2019,33.34,33.740002,33.259998,33.580002,33.580002,1597300,,
10/15/2019,33.509998,34.080002,33.18,33.419998,33.419998,2243100,,
10/16/2019,33.419998,33.720001,32.939999,33.07,33.07,1608300,,
10/17/2019,33.139999,33.459999,32.860001,33.389999,33.389999,1696700,,
10/18/2019,33.720001,33.959999,33.130001,33.189999,33.189999,1643500,,
10/21/2019,33.009998,33.619999,33.009998,33.470001,33.470001,1813100,,
10/22/2019,33.549999,34.299999,33.07,33.650002,33.650002,3450100,,
10/23/2019,33.400002,34.110001,33.099998,33.82,33.82,1809700,,
10/24/2019,33.830002,34.049999,33.25,33.5,33.5,1529900,,
10/25/2019,33.41,34.099998,33.09,34.02,34.02,1619500,,
10/28/2019,34.110001,34.360001,33.73,33.73,33.73,2167400,,
10/29/2019,33.509998,34.5,33.369999,34.169998,34.169998,2013900,,
10/30/2019,34.16,34.299999,33.389999,33.540001,33.540001,2181100,,
10/31/2019,33.419998,33.43,32.700001,33.209999,33.209999,2367200,,
11/1/2019,33.509998,34.130001,33.459999,34.080002,34.080002,3029500,,
11/4/2019,34.439999,35.27,34.419998,34.93,34.93,3251100,,
11/5/2019,35.220001,35.349998,34.73,34.849998,34.849998,1734800,,
11/6/2019,34.810001,34.98,33.740002,34.139999,34.139999,2665600,,
11/7/2019,35.16,37.040001,34.970001,36.98,36.98,6644900,,
11/8/2019,36.139999,37.09,36.139999,36.939999,36.939999,3454100,,
11/11/2019,36.52,36.91,36.299999,36.889999,36.889999,1443700,,
11/12/2019,36.810001,37.380001,36.59,37.029999,37.029999,5093500,,
11/13/2019,36.779999,37.16,36.650002,36.82,36.82,2846900,,
11/14/2019,36.849998,37.259998,36.5,36.700001,36.700001,3276500,,
11/15/2019,36.790001,37.66,36.759998,37.07,37.07,2044700,,
11/18/2019,36.990002,37.279999,36.52,37.23,37.23,2087300,,
11/19/2019,37.009998,37.25,36.759998,37.029999,37.029999,3977000,,
11/20/2019,37,37.720001,36.650002,37.360001,37.360001,5785600,,
11/21/2019,37.41,37.549999,37.119999,37.400002,37.400002,1777100,,
11/22/2019,37.5,37.759998,37.09,37.209999,37.209999,1798400,,
11/25/2019,36.959999,37.720001,36.830002,37.630001,37.630001,3681200,,
